Name	Set	ImageFile	Number	Rarity	Type	Health	Attack	Build	Material	W	S	C	Card-Effect|Attack-Name	Flavor-Text	Alt-Art	Foil	Artist	Numeric	Odds	Slot
MATT.1	PRIME	0001-Foil.png	1	B	ENGINEER	69	30	2	CONCRETE	-	-	2	NOICE!	MATT ALWAYS PICKS THE RAREST UPGRADE AND THIS IS ONE OF THE RAREST CARDS IN THE COLLECTION, THE BLUEPRINT OF 5 YEARS OF CONTENT.	-	1	SARAHBOODLE	4	96	5
MATT.2	PRIME	0002.png	2	R	ENGINEER	69	30	1	CONCRETE	-	-	1	NOICE!	THE REAL CIVIL ENGINEER AND CREATOR OF COUNTLESS MEMORIES OVER THE PAST 5 YEARS OF CONTENT.	-	-	MARBLEGROVES	3	88	345
MATT.2	PRIME	0002-Foil.png	2	R	ENGINEER	69	30	1	CONCRETE	-	-	1	NOICE!	THE REAL CIVIL ENGINEER AND CREATOR OF COUNTLESS MEMORIES OVER THE PAST 5 YEARS OF CONTENT.	-	1	MARBLEGROVES	3	92	345
MATT.3	PRIME	0003.png	3	U	ENGINEER	60	30	1	CONCRETE	-	-	1	BOOSH!	THE REAL CIVIL ENGINEER, HE ALWAYS USES PRECISE ENGINEERING LOGIC TO BE READY TO BUILD THE STRONGEST SHAPE WHEREVER IT'S REQUIRED!	-	-	MARBLEGROVES	2	86	346
MATT.3	PRIME	0003-Foil.png	3	U	ENGINEER	60	30	1	CONCRETE	-	-	1	BOOSH!	THE REAL CIVIL ENGINEER, HE ALWAYS USES PRECISE ENGINEERING LOGIC TO BE READY TO BUILD THE STRONGEST SHAPE WHEREVER IT'S REQUIRED!	-	1	MARBLEGROVES	2	90	346
PADDY.4	PRIME	0004.png	4	B	ENGINEER	60	20	3	STEEL	-	3	-	TAIL CHASE	THE BESTEST BOY GETS THE BLUEPRINT CARD. A TRULY RARE FIND!	-	-	SARAHBOODLE	4	94	5
PADDY.4	PRIME	0004-Foil.png	4	B	ENGINEER	60	20	3	STEEL	-	3	-	TAIL CHASE	THE BESTEST BOY GETS THE BLUEPRINT CARD. A TRULY RARE FIND!	-	1	SARAHBOODLE	4	96	5
PADDY.5	PRIME	0005.png	5	R	ENGINEER	60	20	2	STEEL	-	2	-	TAIL CHASE	PADDY IS OFTEN SEEN CHASING HIS TAIL WITH MANY CUPS AND GLASSES ON COFFEE TABLES BEING AT THE RECEIVING END OF THIS DEVASTATING ATTACK.	-	-	PAM	3	88	345
PADDY.5	PRIME	0005-Foil.png	5	R	ENGINEER	60	20	2	STEEL	-	2	-	TAIL CHASE	PADDY IS OFTEN SEEN CHASING HIS TAIL WITH MANY CUPS AND GLASSES ON COFFEE TABLES BEING AT THE RECEIVING END OF THIS DEVASTATING ATTACK.	-	1	PAM	3	92	345
PADDY.6	PRIME	0006.png	6	U	ENGINEER	50	20	2	STEEL	-	2	-	BIG STICK	AN ENGINEER'S BEST FRIEND WHO ABSOLUTELY LOVES CARRYING THE BIGGEST STICK HE CAN FIND!	-	-	PAM	2	86	346
PADDY.6	PRIME	0006-Foil.png	6	U	ENGINEER	50	20	2	STEEL	-	2	-	BIG STICK	AN ENGINEER'S BEST FRIEND WHO ABSOLUTELY LOVES CARRYING THE BIGGEST STICK HE CAN FIND!	-	1	PAM	2	90	346
BEAVER ENGINEER.7	PRIME	0007.png	7	B	ENGINEER	80	20	3	WOOD	3	-	-	DAM	THE BLUEPRINT TO THE ENGINEER OF THE NATURAL WORLD CAPABLE OF INCREDIBLE ENGINEERING FEATS, THOUGH PRONE TO INCIDENTS.	-	-	SARAHBOODLE	4	94	5
BEAVER ENGINEER.7	PRIME	0007-Foil.png	7	B	ENGINEER	80	20	3	WOOD	3	-	-	DAM	THE BLUEPRINT TO THE ENGINEER OF THE NATURAL WORLD CAPABLE OF INCREDIBLE ENGINEERING FEATS, THOUGH PRONE TO INCIDENTS.	-	1	SARAHBOODLE	4	96	5
BEAVER ENGINEER.8	PRIME	0008.png	8	R	ENGINEER	80	20	2	WOOD	2	-	-	DAM	HARD HATS AND HIGH VISIBILITY JACKETS ARE MANDATORY FOR BEAVERS. THOUGH INCIDENTS ARE STILL LIKELY TO OCCUR…	-	-	OXI	3	88	345
BEAVER ENGINEER.8	PRIME	0008-Foil.png	8	R	ENGINEER	80	20	2	WOOD	2	-	-	DAM	HARD HATS AND HIGH VISIBILITY JACKETS ARE MANDATORY FOR BEAVERS. THOUGH INCIDENTS ARE STILL LIKELY TO OCCUR…	-	1	OXI	3	92	345
BEAVER ENGINEER.9	PRIME	0009.png	9	U	ENGINEER	70	20	2	WOOD	2	-	-	LOGGERHEAD	THE ENGINEER OF THE NATURAL WORLD, CAPABLE OF BUILDING HUGE DAMS WITH EXTREME PRECISION.	-	-	BRIAN	2	86	346
BEAVER ENGINEER.9	PRIME	0009-Foil.png	9	U	ENGINEER	70	20	2	WOOD	2	-	-	LOGGERHEAD	THE ENGINEER OF THE NATURAL WORLD, CAPABLE OF BUILDING HUGE DAMS WITH EXTREME PRECISION.	-	1	BRIAN	2	90	346
THE BEAVLES.10	PRIME	0010.png	10	B	ENGINEER	70	30	2	WOOD	2	-	-	LET IT BE-AVER	SOME SAY A HUMAN BAND RIPPED OFF THE BEAVLES AND EVEN STOLE THEIR TIMBER ROAD ALBUM COVER IDEA…	-	-	SARAHBOODLE	4	94	5
THE BEAVLES.10	PRIME	0010-Foil.png	10	B	ENGINEER	70	30	2	WOOD	2	-	-	LET IT BE-AVER	SOME SAY A HUMAN BAND RIPPED OFF THE BEAVLES AND EVEN STOLE THEIR TIMBER ROAD ALBUM COVER IDEA…	-	1	SARAHBOODLE	4	96	5
THE BEAVLES.11	PRIME	0011.png	11	R	ENGINEER	70	30	1	WOOD	1	-	-	LET IT BE-AVER	THE BEAVLES PERFORMING THEIR LEGENDARY SET ON A ROOFTOP TERRACE IN THE TIMBERBORNERS.	-	-	OXI	3	88	345
THE BEAVLES.11	PRIME	0011-Foil.png	11	R	ENGINEER	70	30	1	WOOD	1	-	-	LET IT BE-AVER	THE BEAVLES PERFORMING THEIR LEGENDARY SET ON A ROOFTOP TERRACE IN THE TIMBERBORNERS.	-	1	OXI	3	92	345
THE BEAVLES.12	PRIME	0012.png	12	C	ENGINEER	60	30	1	WOOD	1	-	-	TIMBER ROAD	JOHN LOGGON, PAUL MCBEAVERWOOD, GEORGE TIMBERSON AND RINGO DAM COMBINE TO FORM THIS TRULY LEGENDARY BAND.	-	-	AUDIPRIATNA	1	54	1267
PUPPY PADDY.13	PRIME	0013.png	13	B	ENGINEER	50	50	2	STEEL	-	2	-	BITE *THAT WAS TIRING FOR A PUPPY, MISS A TURN (MISS AN EXTRA TURN ON OBJECTIVE ATTACKS).	A BLUEPRINT TO THE CUTEST LITTLE PUPPY, WE JUST NEED A WAY TO MASS MARKET THIS!	-	-	SARAHBOODLE	4	94	5
PUPPY PADDY.13	PRIME	0013-Foil.png	13	B	ENGINEER	50	50	2	STEEL	-	2	-	BITE *THAT WAS TIRING FOR A PUPPY, MISS A TURN (MISS AN EXTRA TURN ON OBJECTIVE ATTACKS).	A BLUEPRINT TO THE CUTEST LITTLE PUPPY, WE JUST NEED A WAY TO MASS MARKET THIS!	-	1	SARAHBOODLE	4	96	5
PUPPY PADDY.14	PRIME	0014.png	14	R	ENGINEER	50	50	1	STEEL	-	1	-	BITE *THAT WAS TIRING FOR A PUPPY, MISS A TURN (MISS AN EXTRA TURN ON OBJECTIVE ATTACKS).	THOSE SHARP LITTLE PUPPY TEETH MAKE THE CUTEST LITTLE CREATURE A VICIOUS ENGINEER THAT CANNOT BE TRUSTED.	-	-	MARBLEGROVES	3	88	345
PUPPY PADDY.14	PRIME	0014-Foil.png	14	R	ENGINEER	50	50	1	STEEL	-	1	-	BITE *THAT WAS TIRING FOR A PUPPY, MISS A TURN (MISS AN EXTRA TURN ON OBJECTIVE ATTACKS).	THOSE SHARP LITTLE PUPPY TEETH MAKE THE CUTEST LITTLE CREATURE A VICIOUS ENGINEER THAT CANNOT BE TRUSTED.	-	1	MARBLEGROVES	3	92	345
PUPPY PADDY.15	PRIME	0015.png	15	U	ENGINEER	40	50	1	STEEL	-	1	-	FIRST BARK *THAT WAS TIRING FOR A PUPPY, MISS A TURN (MISS AN EXTRA TURN ON OBJECTIVE ATTACKS).	WHAT HE LACKS IN SIZE, HE MAKES UP FOR IN BITE WITH THOSE SHARP PUPPY GNASHERS.	-	-	MARBLEGROVES	2	86	346
PUPPY PADDY.15	PRIME	0015-Foil.png	15	U	ENGINEER	40	50	1	STEEL	-	1	-	FIRST BARK *THAT WAS TIRING FOR A PUPPY, MISS A TURN (MISS AN EXTRA TURN ON OBJECTIVE ATTACKS).	WHAT HE LACKS IN SIZE, HE MAKES UP FOR IN BITE WITH THOSE SHARP PUPPY GNASHERS.	-	1	MARBLEGROVES	2	90	346
REAL CLAY ENGINEER.16	PRIME	0016.png	16	R	ENGINEER	50	20	3	STEEL	-	3	-	CLAY DAY	MATT OFTEN JOKES ABOUT BALLS, BUT HERE HE'S LITERALLY BEEN MADE FROM ONE!	-	-	TUPPATUPPA	3	88	345
REAL CLAY ENGINEER.16	PRIME	0016-Foil.png	16	R	ENGINEER	50	20	3	STEEL	-	3	-	CLAY DAY	MATT OFTEN JOKES ABOUT BALLS, BUT HERE HE'S LITERALLY BEEN MADE FROM ONE!	-	1	TUPPATUPPA	3	92	345
REAL CLAY ENGINEER.17	PRIME	0017.png	17	C	ENGINEER	40	10	2	STEEL	-	2	-	MOLDED	TO SOME A BALL OF CLAY IS JUST THAT, BUT HERE IT'S BEEN MOLDING INTO THE REAL CIVIL ENGINEER.	-	-	TUPPATUPPA	1	54	1267
CLAY PADDY.18	PRIME	0018.png	18	R	ENGINEER	40	30	3	CONCRETE	-	-	3	CLAY BALL	PADDY LOVES A BALL BUT IN THIS VERSION HE'S LITERALLY MADE FROM A BALL OF CLAY!	-	-	TUPPATUPPA	3	88	345
CLAY PADDY.18	PRIME	0018-Foil.png	18	R	ENGINEER	40	30	3	CONCRETE	-	-	3	CLAY BALL	PADDY LOVES A BALL BUT IN THIS VERSION HE'S LITERALLY MADE FROM A BALL OF CLAY!	-	1	TUPPATUPPA	3	92	345
CLAY PADDY.19	PRIME	0019.png	19	C	ENGINEER	40	10	2	CONCRETE	-	-	2	DOG BOWL	THE ONLY THING CUTER THAN THE REAL PADDY IS THIS CLAY VERSION. WHICH ALSO STARRED IN THE TIMBERBORNERS CLAYMATION INTRO ANIMATION.	-	-	TUPPATUPPA	1	54	1267
CLAY BEAVER ENGINEER.20	PRIME	0020.png	20	R	ENGINEER	50	20	3	WOOD	3	-	-	CERAMIC LOG	FROM A HUMBLE BALL OF CLAY, NATURE'S MOST PROLIFIC HYDRAULIC ENGINEER IS MADE.	-	-	TUPPATUPPA	3	88	345
CLAY BEAVER ENGINEER.20	PRIME	0020-Foil.png	20	R	ENGINEER	50	20	3	WOOD	3	-	-	CERAMIC LOG	FROM A HUMBLE BALL OF CLAY, NATURE'S MOST PROLIFIC HYDRAULIC ENGINEER IS MADE.	-	1	TUPPATUPPA	3	92	345
CLAY BEAVER ENGINEER.21	PRIME	0021.png	21	C	ENGINEER	40	10	2	WOOD	2	-	-	SCULPT	A 100% CLAY BEAVER, AS SEEN IN THE CLAYMATION TIMBERBORNERS INTRO ANIMATION, IN ITS NATURAL HABITAT.	-	-	TUPPATUPPA	1	54	1267
EDITOR SCHMICHAEL.22	PRIME	0022.png	22	U	ENGINEER	60	10	3	CONCRETE	-	-	3	EDIT	THE FIRST AND LONGEST STANDING EDITOR, IT'S AMAZING HOW EFFECTIVE FOUR WALLS AND A LOCKED DOOR CAN BE…	-	-	BRIAN	2	86	346
EDITOR SCHMICHAEL.22	PRIME	0022-Foil.png	22	U	ENGINEER	60	10	3	CONCRETE	-	-	3	EDIT	THE FIRST AND LONGEST STANDING EDITOR, IT'S AMAZING HOW EFFECTIVE FOUR WALLS AND A LOCKED DOOR CAN BE…	-	1	BRIAN	2	90	346
EDITOR BIRD.23	PRIME	0023.png	23	C	ENGINEER	60	10	3	CONCRETE	-	-	3	PECK	CO-CREATOR OF THIS GAME, JUST DON'T LET HIM HELP YOU BUILD A ROAD…	-	-	OCTOBER	1	54	1267
EDITOR COLE.24	PRIME	0024.png	24	U	ENGINEER	50	20	2	CONCRETE	-	-	2	OVERDRIVE	EDITS LIKE A MACHINE, AND IT TURNS OUT HE IS ONE!	-	-	OCTOBER	2	86	346
EDITOR COLE.24	PRIME	0024-Foil.png	24	U	ENGINEER	50	20	2	CONCRETE	-	-	2	OVERDRIVE	EDITS LIKE A MACHINE, AND IT TURNS OUT HE IS ONE!	-	1	OCTOBER	2	90	346
EDITOR SCARECROW.25	PRIME	0025.png	25	U	ENGINEER	50	20	2	CONCRETE	-	-	2	DECOY	OUTSTANDING IN HIS FIELD…	-	-	MARBLEGROVES	2	86	346
EDITOR SCARECROW.25	PRIME	0025-Foil.png	25	U	ENGINEER	50	20	2	CONCRETE	-	-	2	DECOY	OUTSTANDING IN HIS FIELD…	-	1	MARBLEGROVES	2	90	346
LOG PUMPER.26	PRIME	0026.png	26	C	ENGINEER	40	30	1	WOOD	1	-	-	WORKING WOOD	IF A BEAVER ISN'T WORKING THEIR WOOD FOR THE GOOD OF THE COLONY, IS IT EVEN A BEAVER?	-	-	MARBLEGROVES	1	54	1267
SHAMING WHEEL.27	PRIME	0027.png	27	C	ENGINEER	40	10	3	WOOD	3	-	-	SHAME!	SOMETIMES A BEAVER REQUIRES SOME GENTLE DISCIPLINE… SHAME! SHAME! SHAME!	-	-	PAM	1	54	1267
DYNAMITE BEAVER.28	PRIME	0028.png	28	U	ENGINEER	100	100	1	WOOD	1	-	-	DETONATE *ALSO DEALS ATTACK DAMAGE TO ITSELF.	AN EXPLOSIVE TIMBERBORNER, JUST MAKE SURE EVERYONE IS CLEAR BEFORE PRESSING DETONATE, WE DON'T WANT ANOTHER INCIDENT…!	-	-	TWITCHYSPARROW	2	86	346
DYNAMITE BEAVER.28	PRIME	0028-Foil.png	28	U	ENGINEER	100	100	1	WOOD	1	-	-	DETONATE *ALSO DEALS ATTACK DAMAGE TO ITSELF.	AN EXPLOSIVE TIMBERBORNER, JUST MAKE SURE EVERYONE IS CLEAR BEFORE PRESSING DETONATE, WE DON'T WANT ANOTHER INCIDENT…!	-	1	TWITCHYSPARROW	2	90	346
TIMBERNATION STREET BEAVER.29	PRIME	0029.png	29	C	ENGINEER	60	10	3	WOOD	3	-	-	CLONE	A BEAVER FROM THE SPIN-OFF BEAVER SOAP THAT NEVER REALLY TOOK OFF, THOUGH IT GOT A LOT MORE LOVE THAN THE PENGUINZ!	-	-	LUIGRA	1	54	1267
G-WAGON.30	PRIME	0030.png	30	C	ENGINEER	50	20	2	STEEL	-	2	-	ROADNADO	G-WAGON, G-WAGON, G-WAGON, G-WAGON, G-WAGON…	-	-	LUIGRA	1	54	1267
SHIP GRAVEYARD ENGINEER.31	PRIME	0031.png	31	C	ENGINEER	60	10	3	STEEL	-	3	-	SCRAP	AN ENGINEER WITH HUNDREDS OF HOURS EXPERIENCE RECYCLING HUGE RUSTY BEACHED SHIPS INTO SCRAP PROFIT.	-	-	BRIAN	1	54	1267
LAND SPEED ENGINEER.32	PRIME	0032.png	32	C	ENGINEER	50	20	2	CONCRETE	-	-	2	SUPERSONIC	AN ENGINEER THAT CAN BREAK THE LAND SPEED RECORD IN ANY GAME, INCLUDING A GAME ABOUT BUILDING BRIDGES!	-	-	BRIAN	1	54	1267
SPACE ENGINEER.33	PRIME	0033.png	33	C	ENGINEER	50	20	2	STEEL	-	2	-	LAUNCH	AN ENGINEER CAPABLE OF BUILDING A ROCKET THAT CAN LAUNCH AROUND CORNERS. ALL HAIL THE RCE SPACE AGENCY!	-	-	TWITCHYSPARROW	1	54	1267
JASON.34	PRIME	0034.png	34	C	ENGINEER	50	20	2	CONCRETE	-	-	2	BABY FACE	HE MIGHT HAVE THE FACE OF A FOUR YEAR OLD. BUT THIS MAN KNOWS HOW TO SELL PAWN.	-	-	MARBLEGROVES	1	54	1267
DORIS.35	PRIME	0035.png	35	U	ENGINEER	40	40	1	CONCRETE	-	-	1	HEARTBREAK	THE RECEPTIONIST AT MATT'S OLD ENGINEERING FIRM WILL ALWAYS BE THE ONE THAT GOT AWAY…	-	-	PAM	2	86	346
DORIS.35	PRIME	0035-Foil.png	35	U	ENGINEER	40	40	1	CONCRETE	-	-	1	HEARTBREAK	THE RECEPTIONIST AT MATT'S OLD ENGINEERING FIRM WILL ALWAYS BE THE ONE THAT GOT AWAY…	-	1	PAM	2	90	346
REAL CIVIL MUSICIAN.36	PRIME	0036.png	36	U	ENGINEER	80	10	2	CONCRETE	-	-	2	PICK SLIDE	BUILDING BRIDGES IN THE DAY, MAKING ROCK MUSIC BY NIGHT!	-	-	TWITCHYSPARROW	2	86	346
REAL CIVIL MUSICIAN.36	PRIME	0036-Foil.png	36	U	ENGINEER	80	10	2	CONCRETE	-	-	2	PICK SLIDE	BUILDING BRIDGES IN THE DAY, MAKING ROCK MUSIC BY NIGHT!	-	1	TWITCHYSPARROW	2	90	346
BRITISH MATT.37	PRIME	0037.png	37	R	ENGINEER	70	20	2	STEEL	-	2	-	TEA TIME *DOES TRIPLE DAMAGE AGAINST ALL EDITORS.*	IT'S NOT JUST HIS ACCENT THAT MAKES HIM BRITISH, HE LOVES TO BLAME "PESKY NATIVES" FOR DEFENDING THEMSELVES AGAINST HIM.	-	-	TIFF	3	88	345
BRITISH MATT.37	PRIME	0037-Foil.png	37	R	ENGINEER	70	20	2	STEEL	-	2	-	TEA TIME *DOES TRIPLE DAMAGE AGAINST ALL EDITORS.*	IT'S NOT JUST HIS ACCENT THAT MAKES HIM BRITISH, HE LOVES TO BLAME "PESKY NATIVES" FOR DEFENDING THEMSELVES AGAINST HIM.	-	1	TIFF	3	92	345
EDITOR BIRD.38	PRIME	0038.png	38	R	ENGINEER	70	20	2	STEEL	-	2	-	AMERICANA *DOES TRIPLE DAMAGE AGAINST BRITISH MATT*	WHEN HE PLAYS CO-OP GAMES WITH MATT HE CAN'T HELP BUT BRING UP JULY 4TH.	-	-	TIFF	3	88	345
EDITOR BIRD.38	PRIME	0038-Foil.png	38	R	ENGINEER	70	20	2	STEEL	-	2	-	AMERICANA *DOES TRIPLE DAMAGE AGAINST BRITISH MATT*	WHEN HE PLAYS CO-OP GAMES WITH MATT HE CAN'T HELP BUT BRING UP JULY 4TH.	-	1	TIFF	3	92	345
EDITOR SCHMICHAEL.39	PRIME	0039.png	39	R	ENGINEER	70	20	2	STEEL	-	2	-	PIT OF BABEL *DOES TRIPLE DAMAGE AGAINST BRITISH MATT.*	THE CHOSEN ONE WHO NOW RESIDES IN A COMFORTABLE BASEMENT, SADLY HIS BROTHERS AND SISTERS WEREN’T SO LUCKY…	-	-	EPICBOARDGAME	3	88	345
EDITOR SCHMICHAEL.39	PRIME	0039-Foil.png	39	R	ENGINEER	70	20	2	STEEL	-	2	-	PIT OF BABEL *DOES TRIPLE DAMAGE AGAINST BRITISH MATT.*	THE CHOSEN ONE WHO NOW RESIDES IN A COMFORTABLE BASEMENT, SADLY HIS BROTHERS AND SISTERS WEREN’T SO LUCKY…	-	1	EPICBOARDGAME	3	92	345
EDITOR COLE.40	PRIME	0040.png	40	R	ENGINEER	80	20	4	STEEL	-	4	-	LEG JAB *DOES TRIPLE DAMAGE AGAINST BRITISH MATT*	THIS ANDROID EDITOR IS CAPABLE OF ADDING VARIOUS ATTACHMENT IN PLACE OF HIS LEGS. BEWARE THOUGH, SOME ARE SHARP AND POINTY!	-	-	METALGHOST	3	88	345
EDITOR COLE.40	PRIME	0040-Foil.png	40	R	ENGINEER	80	20	4	STEEL	-	4	-	LEG JAB *DOES TRIPLE DAMAGE AGAINST BRITISH MATT*	THIS ANDROID EDITOR IS CAPABLE OF ADDING VARIOUS ATTACHMENT IN PLACE OF HIS LEGS. BEWARE THOUGH, SOME ARE SHARP AND POINTY!	-	1	METALGHOST	3	92	345
MOD TEAM.41	PRIME	0041.png	41	C	ENGINEER	40	60	1	STEEL	-	1	-	SERVER APOCALYPSE *FLIP A COIN AND DISCARD THIS ENGINEER CARD IF UNSUCCESSFUL*	THE TEAM KEEPING THE DISCORD SERVER A SAFE PLACE: TEZGUIN, JOETHESMITER, APOCALYPSTIC666, PALFLY, MELTEDCALIPPO, TOTTALYNOTKEANU, ANTDKING, TEAPOT4195, AND SAMSTER1357.	-	-	TWITCHYSPARROW	1	54	1267
THUMBNAIL ARTIST CARL.42	PRIME	0042.png	42	C	ENGINEER	60	10	3	WOOD	3	-	-	SKETCH	CARL IS THE ARTIST FOR MOST OF THE HAND DRAWN RCE THUMBNAILS.	-	-	ISEKAIFLORY	1	54	1267
SANTA PADDY.43	PRIME	0043.png	43	U	ENGINEER	50	20	3	CONCRETE	-	-	3	MERRY BRIDGEMAS	THE BEST PRESENT EVER! BUT REMEMBER, A DOG IS FOR LIFE NOT JUST FOR BRIDGEMAN.	-	-	PAM	2	86	346
SANTA PADDY.43	PRIME	0043-Foil.png	43	U	ENGINEER	50	20	3	CONCRETE	-	-	3	MERRY BRIDGEMAS	THE BEST PRESENT EVER! BUT REMEMBER, A DOG IS FOR LIFE NOT JUST FOR BRIDGEMAN.	-	1	PAM	2	90	346
SUPER OOPER MEGA UBER DAM.44	PRIME	0044.png	44	B	OBJECTIVE	120	-	3	-	1	1	1	-	THE BLUEPRINT OF THE LARGEST AND MOST IMPRESSIVE DAM KNOWN TO BEAVER KIND. AS MANY BEAVERS WENT INTO THIS AS ADJECTIVES ARE USED TO DESCRIBE IT.	-	-	SARAHBOODLE	4	94	5
SUPER OOPER MEGA UBER DAM.44	PRIME	0044-Foil.png	44	B	OBJECTIVE	120	-	3	-	1	1	1	-	THE BLUEPRINT OF THE LARGEST AND MOST IMPRESSIVE DAM KNOWN TO BEAVER KIND. AS MANY BEAVERS WENT INTO THIS AS ADJECTIVES ARE USED TO DESCRIBE IT.	-	1	SARAHBOODLE	4	96	5
SUPER OOPER MEGA UBER DAM.45	PRIME	0045.png	45	R	OBJECTIVE	120	-	4	-	1	1	1	-	THE PINNACLE OF BEAVER ENGINEERING. EARNING EVERY ADJECTIVE IN ITS NAME.	-	-	PAM	3	88	345
SUPER OOPER MEGA UBER DAM.45	PRIME	0045-Foil.png	45	R	OBJECTIVE	120	-	4	-	1	1	1	-	THE PINNACLE OF BEAVER ENGINEERING. EARNING EVERY ADJECTIVE IN ITS NAME.	-	1	PAM	3	92	345
GIGA DAM.46	PRIME	0046.png	46	B	OBJECTIVE	100	-	3	-	1	1	1	-	THE BLUEPRINT OF ONE OF THE ONLY DAMS BIGGER THAN A MEGA DAM.	-	-	SARAHBOODLE	4	94	5
GIGA DAM.46	PRIME	0046-Foil.png	46	B	OBJECTIVE	100	-	3	-	1	1	1	-	THE BLUEPRINT OF ONE OF THE ONLY DAMS BIGGER THAN A MEGA DAM.	-	1	SARAHBOODLE	4	96	5
GIGA DAM.47	PRIME	0047.png	47	R	OBJECTIVE	80	-	3	-	1	1	1	-	BIGGER THAN A MEGA DAM. BUT THEN WHAT DAM ISN'T?	-	-	PAM	3	88	345
GIGA DAM.47	PRIME	0047-Foil.png	47	R	OBJECTIVE	80	-	3	-	1	1	1	-	BIGGER THAN A MEGA DAM. BUT THEN WHAT DAM ISN'T?	-	1	PAM	3	92	345
MEGA DAM.48	PRIME	0048.png	48	B	OBJECTIVE	60	-	2	-	1	1	1	-	THE BLUEPRINT OF A DAM THAT ONLY A TEAM OF ENGINEERING BEAVERS CAN BUILD.	-	-	SARAHBOODLE	4	94	5
MEGA DAM.48	PRIME	0048-Foil.png	48	B	OBJECTIVE	60	-	2	-	1	1	1	-	THE BLUEPRINT OF A DAM THAT ONLY A TEAM OF ENGINEERING BEAVERS CAN BUILD.	-	1	SARAHBOODLE	4	96	5
